57 w= 15 d= 218 c= 720 l= 39 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 122 mld= 192 mn= 345 ex= 9107 xn= 30 wv= 299 bu= 95 cu= 104 pu= 432 vs= 5299 s= 0 / 1000
58 w= 10 d= 20 c= 40 l= 3 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 30 ex= 6155 xn= 19 wv= 0 bu= 24 cu= 15 pu= 56 vs= 0 s= 0 / 1000
59 w= 9 d= 19 c= 36 l= 2 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 26 ex= 6713 xn= 16 wv= 0 bu= 22 cu= 13 pu= 38 vs= 0 s= 0 / 1000
60 w= 17 d= 336 c= 1156 l= 90 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 380 mld= 533 mn= 502 ex= 10735 xn= 45 wv= 566 bu= 135 cu= 175 pu= 726 vs= 7136 s= 0 / 1000
61 w= 14 d= 284 c= 969 l= 432 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 355 mld= 459 mn= 382 ex= 9193 xn= 28 wv= 418 bu= 143 cu= 338 pu= 686 vs= 5789 s= 0 / 1000
62 w= 7 d= 10 c= 16 l= 1 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 11 ex= 908 xn= 8 wv= 0 bu= 15 cu= 7 pu= 22 vs= 0 s= 0 / 1000
63 w= 48 d= 5980 c= 27205 l= 43503520 p= 49146 b= 3072 ch= 7168 tc=  0.0240 tb=  0.0360 dp= 0 cp= 0 mlc= 8267 mld= 9372 mn= 10894 ex= 36422 xn= 137 wv= 26915 bu= 2200 cu= 7033 pu= 38812 vs= 69504 s= 1078 / 1000
64 w= 26 d= 260 c= 741 l= 3136 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0160 dp= 0 cp= 0 mlc= 211 mld= 300 mn= 397 ex= 24751 xn= 84 wv= 669 bu= 104 cu= 116 pu= 601 vs= 10413 s= 1016 / 1000
65 w= 28 d= 472 c= 1447 l= 880 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0080 dp= 0 cp= 0 mlc= 431 mld= 589 mn= 723 ex= 13112 xn= 63 wv= 1476 bu= 160 cu= 173 pu= 1901 vs= 14532 s= 440 / 1000
66 w= 8 d= 14 c= 29 l= 1 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 18 ex= 1657 xn= 16 wv= 0 bu= 17 cu= 8 pu= 26 vs= 0 s= 0 / 1000
